title,url,is_paid,course_by,skills,cluster_predicted
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Data Visualization,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Data Analysis,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Machine Learning,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Plot (Graphics),0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Business Analysis,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Machine Learning Algorithms,0
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,False,Stanford University, Statistical Analysis,0
Politics and Economics of International Energy,https://www.coursera.org/learn/global-energy,False,Sciences Po,Business Psychology,1
Politics and Economics of International Energy,https://www.coursera.org/learn/global-energy,False,Sciences Po, Culture,0
Politics and Economics of International Energy,https://www.coursera.org/learn/global-energy,False,Sciences Po, Leadership and Management,0
Politics and Economics of International Energy,https://www.coursera.org/learn/global-energy,False,Sciences Po, Communication,0
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University,Finance,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Investment Management,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Accounting,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Entrepreneurial Finance,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Entrepreneurship,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, General Accounting,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Risk Management,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Banking,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Financial Accounting,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Payments,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Regulations and Compliance,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Strategy and Operations,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Underwriting,1
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Budget Management,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Business Analysis,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Data Analysis,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Financial Analysis,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Financial Management,2
Schizophrenia,https://www.coursera.org/learn/schizophrenia,False,Wesleyan University, Leadership and Management,2
"Innovation Through Design: Think, Make, Break, Repeat",https://www.coursera.org/learn/innovation-through-design,False,The University of Sydney,Feature Engineering,4
"Innovation Through Design: Think, Make, Break, Repeat",https://www.coursera.org/learn/innovation-through-design,False,The University of Sydney, Machine Learning,5
Conflict Transformation,https://www.coursera.org/learn/conflict-transformation,False,Emory University,Business Analysis,4
Conflict Transformation,https://www.coursera.org/learn/conflict-transformation,False,Emory University, Data Analysis,5
Conflict Transformation,https://www.coursera.org/learn/conflict-transformation,False,Emory University, Data Analysis Software,5
Conflict Transformation,https://www.coursera.org/learn/conflict-transformation,False,Emory University, Microsoft Excel,5
Conflict Transformation,https://www.coursera.org/learn/conflict-transformation,False,Emory University, Spreadsheet Software,4
Leading Healthcare Quality and Safety,https://www.coursera.org/learn/quality-healthcare,False,The George Washington University,Databases,1
Leading Healthcare Quality and Safety,https://www.coursera.org/learn/quality-healthcare,False,The George Washington University, Strategy and Operations,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto,Business Analysis,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Business Design,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Business Development,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Business Transformation,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Entrepreneurship,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Research and Design,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Sales,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Innovation,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Business Process Management,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Business Psychology,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Design and Product,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Leadership and Management,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Market Research,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Organizational Development,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, People Development,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Performance Management,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Product Design,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Strategy and Operations,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Marketing,2
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Planning,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Problem Solving,1
The Social Context of Mental Health and Illness,https://www.coursera.org/learn/mental-health,False,University of Toronto, Strategy,1
Introduction to Dental Medicine,https://www.coursera.org/learn/dental-medicine-penn,False,University of Pennsylvania,Finance,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam,Entrepreneurship,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Leadership and Management,5
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Marketing,5
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Operating Systems,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Sales,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Security Engineering,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Software Security,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Strategy,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Strategy and Operations,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, System Security,4
Innovation Management,https://www.coursera.org/learn/innovation-management,False,Erasmus University Rotterdam, Computer Networking,5
